assay_name,n_total,n_correct,n_incorrect,n_true_positive,n_true_negative,n_false_positive,n_false_negative,error_rate,fp_rate_within_errors,fn_rate_within_errors
SR-ARE,1174,936,238,102,834,157,81,0.20272572402044292,0.6596638655462185,0.3403361344537815
NR-ER,1229,980,249,68,912,184,65,0.20260374288039057,0.7389558232931727,0.26104417670682734
SR-MMP,1138,983,155,104,879,96,59,0.13620386643233742,0.6193548387096774,0.38064516129032255
NR-AhR,1305,1141,164,99,1042,101,63,0.12567049808429118,0.6158536585365854,0.38414634146341464
SR-HSE,1300,1157,143,31,1126,96,47,0.11,0.6713286713286714,0.32867132867132864
SR-p53,1357,1231,126,48,1183,86,40,0.09285187914517318,0.6825396825396826,0.31746031746031744
NR-Aromatase,1161,1063,98,19,1044,59,39,0.08440999138673558,0.6020408163265306,0.3979591836734694
NR-ER-LBD,1376,1269,107,32,1237,79,28,0.07776162790697674,0.7383177570093458,0.2616822429906542
SR-ATAD5,1406,1313,93,23,1290,63,30,0.06614509246088193,0.6774193548387096,0.3225806451612903
NR-AR,1441,1353,88,29,1324,54,34,0.061068702290076333,0.6136363636363636,0.38636363636363635
NR-PPAR-gamma,1268,1212,56,12,1200,36,20,0.04416403785488959,0.6428571428571429,0.35714285714285715
NR-AR-LBD,1334,1291,43,29,1262,24,19,0.03223388305847077,0.5581395348837209,0.4418604651162791
