assay_name,n_samples,n_positive,n_negative,accuracy,precision,recall,f1,roc_auc,pr_auc,evaluation_status
NR-AR,1441,63,1378,0.9389312977099237,0.3493975903614458,0.4603174603174603,0.3972602739726027,0.7411938166655148,0.45579506433362565,evaluated
NR-AR-LBD,1334,48,1286,0.9677661169415293,0.5471698113207547,0.6041666666666666,0.5742574257425742,0.8964975375842406,0.6358375076092112,evaluated
NR-AhR,1305,162,1143,0.8743295019157088,0.495,0.6111111111111112,0.5469613259668509,0.8463972867589081,0.5580157954738519,evaluated
NR-Aromatase,1161,58,1103,0.9155900086132644,0.24358974358974358,0.3275862068965517,0.27941176470588236,0.747147278581924,0.23384128203461307,evaluated
NR-ER,1229,133,1096,0.7973962571196095,0.2698412698412698,0.5112781954887218,0.35324675324675325,0.6944425388288238,0.38830918308603196,evaluated
NR-ER-LBD,1376,60,1316,0.9222383720930233,0.2882882882882883,0.5333333333333333,0.3742690058479532,0.7807244174265452,0.439744074203075,evaluated
NR-PPAR-gamma,1268,32,1236,0.9558359621451105,0.25,0.375,0.3,0.842435275080906,0.25145468795462456,evaluated
SR-ARE,1174,183,991,0.797274275979557,0.3938223938223938,0.5573770491803278,0.46153846153846156,0.7590555436083218,0.40182918403555035,evaluated
SR-ATAD5,1406,53,1353,0.933854907539118,0.26744186046511625,0.4339622641509434,0.33093525179856115,0.7834999790821235,0.2858280752184693,evaluated
SR-HSE,1300,78,1222,0.89,0.2440944881889764,0.3974358974358974,0.3024390243902439,0.7386063200302153,0.2524232245957542,evaluated
SR-MMP,1138,163,975,0.8637961335676626,0.52,0.6380368098159509,0.5730027548209367,0.8535409784489538,0.5963104755044896,evaluated
SR-p53,1357,88,1269,0.9071481208548269,0.3582089552238806,0.5454545454545454,0.43243243243243246,0.8529980657640233,0.4052289444364527,evaluated
